Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
كمال الذوادي,Kamel Dhaouadi,57,Male,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حافظ السحباني,Hafedh Sahbani,58,Male,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي الطياشي,Ali Tayachi,59,Male,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي البجاوي الطياشي,Ali Tayachi,59,Male,,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سميرة عبد المولي,Samira Abdelmoula,60,Female,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بسمة العطاوي,Basma El Attaoui,61,Female,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فوزي جراد,Faouzi Jrad,62,Male,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الصحبي يوسف,Essahbi Youssef,63,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هدى بوفائد دهان,Yafa Boufaed Dahen,64,Female,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سهام تيرة,Sihem Tira Ben Ammar,65,Female,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي قربصلي,Ali Karbesli,66,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمود الحجري,Mahmoud Hajri,67,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد القادر الحداد,Abdelkader Hadad,68,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الطرابلسي,Mohamed Trabelsi,69,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الحبيب بوجبل,Habib Boujbel,70,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
