Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
 رياض الموخر,Riadh Mouakher,620,Male,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2014-2019,2014-2016,0,أفاق تونس,Afek Tounes,2014-2016,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ياسين ابراهيم,Yassine Brahim,621,Male,,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2014-2019,2014-2015,0,أفاق تونس,Afek Tounes,2014-2015,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الطاهر بطيخ,Taher Battikh,622,Male,,,,,0,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2015-2017,0,حركة نداء تونس,Mouvement Nidaa Tounes,2015-2017,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
التوهامى عبدولى,Touhami Abdouli,623,Male,,,,,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2014-2015,0,الجبهة الوطنية للانقاذ,Front De Salut National,2014-2015,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ليليا يونس,Lilia Younes Ksibi,624,Female,,,,,0,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2014-2019,2015-2019,1,أفاق تونس,Afek Tounes,2015-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نزهة بياوي,Nozha Biaoui,625,Female,,,,,0,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2015-2019,1,الجبهة الوطنية للانقاذ,Front De Salut National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
وفاء عطية,Wafa Attia,626,Female,,,,,0,Assembly of the Representatives of the People,سوسة,Sousse,2014-2019,2015-2019,1,حركة النهضة,Mouvement Ennahdha,2015-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
وفاء عطية,Wafa Attia,626,Female,,,,,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لمياء الغربي,Lamia Gharbi,627,Female,,,,,0,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2014-2019,2015-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2015-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هدى سليم,Houda Slim,628,Female,,,,,0,Assembly of the Representatives of the People,تونس 2,Tunis 2,2014-2019,2015-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2015-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نورة العامري,Noura Amri,629,Female,,,,,0,Assembly of the Representatives of the People,سوسة,Sousse,2014-2019,2015-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2015-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
توفيق والي,Taoufik Ouali,630,Male,,,,,0,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2015-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2015-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ألفة الجويني,Olfa Jouini,631,Female,,,,,0,Assembly of the Representatives of the People,تونس 1,Tunis 1,2014-2019,2016-2019,1,الاتحاد الوطنى الحر,Union Patriotique Libre,2016-2018,حركة نداء تونس,Mouvement Nidaa Tounes,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مروان فلفال,Marouan Falfel,632,Male,,,,,0,Assembly of the Representatives of the People,فرنسا 1,France 1,2014-2019,2016-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مروان فلفال,Marouan Falfel,632,Male,,,,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لمياء الدريري,Lamia Dridi,633,Female,1968,Teacher,Post Secondary,Bizerte,0,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2016-2019,1,التحالف الديمقراطى,Alliance Democratique,2016-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كريمة التقاز,Karima Taggaz,634,Female,1982,Teacher,Post Secondary,France,0,Assembly of the Representatives of the People,فرنسا 1,France 1,2014-2019,2016-2019,1,حركة النهضة,Mouvement Ennahdha,2016-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هاجر بن الشيخ أحمد,Heger Ben Cheikh Ahmed,635,Female,,,,,0,Assembly of the Representatives of the People,تونس 2,Tunis 2,2014-2019,2016-2019,1,آفاق تونس,Afek Tounes,2016-2018,مستقل,Independent,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الوهاب ورفيلي,Abdelouahab Ouerfelli,636,Male,,,,,0,Assembly of the Representatives of the People, سليانة,Siliana,2014-2019,2017-2019,1,الحزب الجمهورى,Al Joumhouri,,مستقل,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد عبد اللاوي,Mohamed Abdellaoui,637,Male,,,,,0,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2017-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2017-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أميرة زكاري,Amira Zoukari,638,Female,,,,,0,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2017-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2017-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ياسين العياري,Yassine Ayari,639,Male,,,,,0,Assembly of the Representatives of the People,فرنسا 1,France 1,2014-2019,2017-2019,1,حزب العمال,Parti des Travailleurs,2018-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ياسين العياري,Yassine Ayari,639,Male,,,,,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2019-2024,2019-,,قائمة أمل وعمل,Liste Independent Amal Wa Aamal,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نسرين العماري,Nesrine Laamari,640,Female,1990,Teacher,Post Secondary,Le Kef,0,Assembly of the Representatives of the People,الكاف,Le Kef,2014-2019,2018-2019,1,حركة مشروع تونس,Mouvement Machrouu Tounes,2018-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نسرين العماري,Nesrine Laamari,640,Female,30,Teacher,Post Secondary,Le Kef,1,Assembly of the Representatives of the People,الكاف,Le Kef,2019-2024,2019-,,حركة مشروع تونس,Mouvement Machrouu Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مروى بوعزي,Maroua Bouazzi,641,Female,,,,,0,Assembly of the Representatives of the People,القصرين,Kasserine,2014-2019,2018-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2018-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جيهين عبادي,Jihene Abadi,642,Female,,Doctor,Post Secondary,,0,Assembly of the Representatives of the People,توزر,Tozeur,2014-2019,2018-2019,1,حركة مشروع تونس,Mouvement Machrouu Tounes,2018-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فاتن الوسلاتي,Faten Oueslati,643,Male,,,,,0,Assembly of the Representatives of the People, سليانة,Siliana,2014-2019,2016-2017,0,الحزب الجمهورى,Al Joumhouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هاجر التريكي,Hager Triki,644,Female,,,,,0,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2018-2019,1,حركة النهضة,Mouvement Ennahdha,2018-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الحميد المرزوقي,Abdelhamid Marzouki,645,Male,,,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شادية الحفصوني,Chadia Hafsouni,646,Female,,,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
توفيق الزايري,Tawfik Zairi,647,Male,,,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 لطفي العيادي,Lotfi Ayadi,648,Male,,,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كمال العوادي,Kamel Aouadi,649,Male,,,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نضال سعودي,Nidhal Saoudi,650,Male,,,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رضا الزغمي,Ridha Zaghmi,651,Male,,,,,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ميلاد بن الدالي,Miled Ben Dali,652,Male,,,,,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسين جنيح,Hussein Jenayah,653,Male,1984,Entrepreneur ,Post Secondary,Sousse,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الصادق قحبيش,Mohamed Sadok Kahbich,654,Male,,,,,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,أفاق تونس,Afek Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رفيق عمارة,Rafik Amara,655,Male,,,,,1,Assembly of the Representatives of the People, باجة,Beja,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سهير العسكري,Souhir Askri,656,Female,,,,,1,Assembly of the Representatives of the People, باجة,Beja,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد القوماني,Mohamed Goumani,657,Male,,,,,1,Assembly of the Representatives of the People, باجة,Beja,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مصطفى الغربي ,Mustapha Gharbi,658,Male,,,,,1,Assembly of the Representatives of the People, باجة,Beja,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 الهادي الماكني ,Hedi Makni,659,Male,,,,,1,Assembly of the Representatives of the People, باجة,Beja,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بلقاسم الدراجي ,Belgacem Darraji,660,Male,,,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد مراد الحمزاوي,Mohamed Mourad Hamzaoui,661,Male,,,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
خيرالدين الزاهي,Kheireddine Zahi,662,Male,,,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2019-2024,2019-,,القائمة المستقلة بذل وعطاء,Faire Et Encherir Sur Une Liste Independante,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
العياشي زمال,Ayachi Zammal,663,Male,,,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الرزاق الحسني,Abderrazek Hosni,664,Male,,,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حاتم المانسي,Hatem Mansi,665,Male,1972,Teacher,Post Secondary,Tunis,1,Assembly of the Representatives of the People, سليانة,Siliana,2019-2024,2019-,,قائمة  سليانة في عينينا,La Liste De Siliana A Nos Yeux,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مروى بن تمروت,Marwa Ben Tamrout,666,Female,,,,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد لزهر الرمة,Mohamed Lazher Rama,667,Male,,,,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ليلى الحداد,Leila Haddad,668,Female,,,,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 فاكر الشويخي,Faker Chouikhi,669,Male,,,,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
المبروك كرشيد,Mabrouk Korchid,670,Male,,,,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نعيمة المنصوري,Naima Mansouri,671,Female,,,,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حاتم المليكي,Hatem Mliki,672,Male,,,,,1,Assembly of the Representatives of the People,الكاف,Le Kef,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مريم اللغماني,Mariem Laghmani,673,Female,,,,,1,Assembly of the Representatives of the People,الكاف,Le Kef,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حاتم البوبكري ,Hatem Boubakri,674,Male,1979,Journalist,Post Secondary,Le Kef,1,Assembly of the Representatives of the People,الكاف,Le Kef,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
امل السعيدي,Amal Saidi,675,Female,,,,,1,Assembly of the Representatives of the People,الكاف,Le Kef,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نور الدين العرباوي,Noureddine Arbaoui,676,Male,,,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد أحمد الدلهومي,Mohamed Ahmed Dalhoumi,677,Male,,,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 آية الله هيشري,Ayatallah Hichri,678,Male,,,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-,,حزب الاتحاد الشعبي الجمهوري,Union Populaire Republicaine,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هاجر بوهلالي,Hejer Bouhleli,679,Female,,,,,0,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2021-,,,Liste Independent Wafa Bil Ahd,2021-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد صالح لطيفي,Mohamed Saleh Ltifi,680,Male,,,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-,, الحزب الإشتراكي الدستوري,Socialist Destourian Party,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الزعبي,Mohamed Zaabi,681,Male,,,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-,,القائمة المستقلة الامتياز,Liste Des Excellent Independants,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
علي الهرماسي ,Ali Hermassi,682,Male,,,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2019-2024,2019-,,حركة نداء تونس,Mouvement Nidaa Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الفاتح الخليفي ,Mohamed Fateh Khlifi,683,Male,,,,,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
صعيب الوذان,Souhaib Ouadhan,684,Male,,,,,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2019-2024,2019-,,حركة مشروع تونس,Mouvement Machrouu Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
غازي القروي,Ghazi Karoui,685,Male,,,,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 أحمد موحى,Ahmed Mouha,686,Male,,,,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 فرحات الراجحي,Farhat Rajhi,687,Male,1952,Judge,Post Secondary,Tunis,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ألفة التراس,Olfa Terras,688,Female,,,,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,عيش تونسي,Aich Tounsi,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عياض علاق,Iyadh Allag,689,Male,,,,,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لمياء جعيدان,Lamia Jaidane,690,Female,,,,,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منصف بوغطاس,Moncef Boughattas,691,Male,,,,,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سميرة سميعي,Samira Smii,692,Female,1965,Veternarian,Post Secondary,Kasserine,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد السخيري,Mohamed Skhiri,693,Male,,,,,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جلال الزياتي,Jalal Zayati,694,Male,1966,Entrepreneur ,Post Secondary,Monastir,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,حزب البديل التونسي,Al Badil Ettounsi,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عدنان بن ابراهيم ,Adnene Ben Brahim,695,Male,1979,Doctor,Post Secondary,Sousse,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,حزب الاتحاد الشعبي الجمهوري,Union Populaire Republicaine,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسام موسى,Houssem Moussa,696,Male,,,,,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عياض اللومي,Iyadh Elloumi,697,Male,,,,,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2021,مستقل,Independent,2021-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شراز الشابي,Chiraz Chebbi,698,Female,,,,,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أبو بكر خزامة,Aboubaker Khouzama,699,Male,,,,,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-2020,0,الحزب الدستوري الحر,Parti Destourien Libre,2019-2020,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عواطف قريش عبيد  ,Awatef Griche Abid,700,Female,,,,,0,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2020-,,الحزب الدستوري الحر,Parti Destourien Libre,2020-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نبيل حاجي,Nabil Hajji,701,Male,,,,,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللطيف علوي,Abdellatif Aloui,702,Male,,,,,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد بن عياد,Ahmed Ben Ayed,703,Male,,,,,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-,,حزب الرحمة,Errahma,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بشر الشابي,Bechr Chebbi,704,Male,,,,,1,Assembly of the Representatives of the People,توزر,Tozeur,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شكري الذويبي,Chokri Dhouibi,705,Male,,,,,1,Assembly of the Representatives of the People,توزر,Tozeur,2019-2024,2019-,,قائمة مستقلة المواطنة والتنمية,Liste Independent Citoyennete Et Developpement,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نهى جلابي,Nouha Jallabi,706,Female,,,,,1,Assembly of the Representatives of the People,توزر,Tozeur,2019-2024,2019-,,حركة نداء تونس,Mouvement Nidaa Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محسن العرفاوي,Mohsen Afraoui,707,Male,,,,,1,Assembly of the Representatives of the People,توزر,Tozeur,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بلقاسم حسن,Belgacem Hssan,708,Male,,,,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الحبيب بن سيدهم,Habib Ben Sid'Hom,709,Male,,,,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
المكي زغدود,Mekki Zaghdoud,710,Male,,,,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نهى عيساوي,Nouha Aissaoui,711,Female,,,,,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بدر الدين قمودي,Badredine Gammoudi,712,Male,,,,,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
